,Unnamed: 0,address,zip_code,price,sell_date,sell_type,price_per_sqm,no_rooms,housing_type,size_in_sqm,year_of_construction,price_change_in_pct,latitude,longitude,sell_year
1255262,1255262,"Malurtvej 8, ST. TV",9000 Aalborg,360000,1992-08-23,Alm. Salg,4137.0,3.0,Lejlighed,87.0,1975.0,0.0,,,1992
1255263,1255263,Oberst Myhres Vej 14,9000 Aalborg,586433,1992-08-20,Andet,4511.0,6.0,Villa,130.0,1958.0,0.0,57.031392,9.905382,1992
1255264,1255264,Filippavej 13,9000 Aalborg,630000,1992-08-18,Alm. Salg,,4.0,Villa,147.0,1974.0,0.0,57.04020799999999,9.86338,1992
1255265,1255265,Gravenstenvej 33,9000 Aalborg,725000,1992-08-18,Alm. Salg,3737.0,6.0,Villa,194.0,1977.0,0.0,57.042248,9.861503,1992
1255266,1255266,Kornblomstvej 73,9000 Aalborg,614700,1992-08-14,Alm. Salg,5392.0,4.0,Villa,114.0,1953.0,0.0,57.028325,9.904124,1992
1255267,1255267,Sønder Alle 7,9000 Aalborg,577200,1992-08-13,Alm. Salg,,6.0,Villa,154.0,1929.0,0.0,57.029447,9.91442,1992
1255268,1255268,Mispelvej 9,9000 Aalborg,826358,1992-12-08,Alm. Salg,6031.0,4.0,Villa,137.0,1985.0,0.0,57.041341,9.870501,1992
1255269,1255269,Moltkesvej 8,9000 Aalborg,595000,1992-07-08,Alm. Salg,4576.0,4.0,Villa,130.0,1926.0,0.0,57.03586899999999,9.902259,1992
1255270,1255270,"Poul Paghs Gade 6E, 1. TV",9000 Aalborg,425000,1992-07-08,Alm. Salg,4941.0,3.0,Lejlighed,86.0,1910.0,0.0,,,1992
1255271,1255271,Falkevej 2,9000 Aalborg,770000,1992-05-08,Alm. Salg,,4.0,Villa,147.0,1933.0,0.0,57.02960699999999,9.930387,1992
1255272,1255272,Edderkopvej 6,9000 Aalborg,36000,1992-07-30,Alm. Salg,500.0,3.0,Sommerhus,72.0,2001.0,0.0,57.039891,9.761592,1992
1255273,1255273,Bernstorffsgade 3,9000 Aalborg,331900,1992-07-29,Alm. Salg,2963.0,4.0,Villa,112.0,1928.0,0.0,57.03944499999999,9.945641,1992
1255274,1255274,Kong Christians Alle 42,9000 Aalborg,1265000,1992-07-29,Alm. Salg,5776.0,8.0,Villa,219.0,1932.0,0.0,57.04434200000001,9.903943,1992
1255275,1255275,"Helgolandsgade 3, 2. TV",9000 Aalborg,263000,1992-07-21,Alm. Salg,4457.0,2.0,Lejlighed,59.0,1940.0,0.0,,,1992
1255276,1255276,Ryttervænget 1,9000 Aalborg,615000,1992-07-20,Alm. Salg,5394.0,5.0,Rækkehus,114.0,1909.0,0.0,57.042768,9.890474,1992
1255277,1255277,Strøybergsvej 47,9000 Aalborg,850000,1992-07-19,Alm. Salg,6071.0,4.0,Villa,140.0,1968.0,0.0,57.043216,9.885198,1992
1255278,1255278,"Europa Plads 4B, 4",9000 Aalborg,255000,1992-07-13,Alm. Salg,4180.0,2.0,Lejlighed,61.0,1932.0,0.0,,,1992
1255279,1255279,Frydendalsvej 13,9000 Aalborg,300000,1992-11-07,Fam. Salg,,5.0,Villa,120.0,1938.0,0.0,57.030332,9.932409,1992
1255280,1255280,Bakkevænget 2,9000 Aalborg,965000,1992-08-07,Alm. Salg,6892.0,5.0,Villa,140.0,1935.0,0.0,57.040274,9.889185,1992
1255281,1255281,"Sofievej 58, ST",9000 Aalborg,302000,1992-08-07,Alm. Salg,3145.0,3.0,Lejlighed,96.0,1963.0,0.0,57.029605,9.964896,1992
1255282,1255282,Kirkedalsvej 14,9000 Aalborg,700000,1992-07-07,Alm. Salg,5263.0,5.0,Villa,133.0,1929.0,0.0,57.042226,9.955902,1992
1255283,1255283,Anders Borks Vej 10,9000 Aalborg,423248,1992-03-07,Alm. Salg,2802.0,7.0,Villa,151.0,1928.0,0.0,57.04742,9.905406,1992
1255284,1255284,Enggårdsgade 64,9000 Aalborg,279460,1992-01-07,Alm. Salg,1954.0,4.0,Villa,143.0,1973.0,0.0,57.027062,9.915302,1992
1255285,1255285,Nørholmsvej 122,9000 Aalborg,465000,1992-01-07,Alm. Salg,,7.0,Villa,154.0,1942.0,0.0,57.036606000000006,9.838641,1992
1255286,1255286,"Nørregade 28, 2",9000 Aalborg,895000,1992-06-30,Alm. Salg,4201.0,6.0,Lejlighed,213.0,1911.0,0.0,,,1992
